station,basin,X,Y
16640,ADOUR GARONNE,513613.0000031191,6398330.000104711
16654,ADOUR GARONNE,468093.00000387046,6383230.000104684
16658,ADOUR GARONNE,468017.00000385835,6361630.000104681
16669,ADOUR GARONNE,484274.0000035952,6373600.000104693
16698,ADOUR GARONNE,520514.00000299653,6383400.000104713
16747,ADOUR GARONNE,574752.000002089,6376250.000104733
16753,ADOUR GARONNE,585249.0000019172,6386780.0001047375
16809,ADOUR GARONNE,629015.0000011887,6400480.000104748
16860,ADOUR GARONNE,644737.0000009269,6409680.000104752
16911,ADOUR GARONNE,638853.0000010219,6387680.00010475
16932,ADOUR GARONNE,687154.000000215,6398550.000104756
16944,ADOUR GARONNE,694209.0000000974,6429250.0001047505
16979,ADOUR GARONNE,716710.9999997189,6431630.000104747
16990,ADOUR GARONNE,741589.9999993033,6402520.000104754
16996,ADOUR GARONNE,683487.0000002757,6381270.000104755
17009,ADOUR GARONNE,719533.999999674,6376960.000104754
17047,ADOUR GARONNE,758099.9999990306,6377300.00010475
17051,ADOUR GARONNE,486212.000003554,6358050.000104689
17055,ADOUR GARONNE,487062.00000353594,6351140.000104688
17068,ADOUR GARONNE,484592.00000353187,6273800.000104637
17100,ADOUR GARONNE,494253.00000335905,6247690.0001046155
17136,ADOUR GARONNE,509040.00000316906,6346720.000104698
17160,ADOUR GARONNE,501272.00000324706,6252330.000104624
17167,ADOUR GARONNE,524948.0000029077,6351860.000104707
17179,ADOUR GARONNE,517606.0000030113,6314810.000104684
17181,ADOUR GARONNE,525386.0000028941,6338460.000104704
17187,ADOUR GARONNE,545094.0000025715,6347550.000104714
17224,ADOUR GARONNE,548030.0000025174,6334310.00010471
17235,ADOUR GARONNE,566838.0000022093,6343790.000104723
17241,ADOUR GARONNE,520812.00000294426,6285590.000104666
17286,ADOUR GARONNE,606980.0000015378,6321150.000104722
17296,ADOUR GARONNE,600018.0000016585,6341710.000104732
17373,ADOUR GARONNE,663150.0000006119,6346480.000104744
17382,ADOUR GARONNE,687093.0000002147,6355270.000104749
17404,ADOUR GARONNE,659597.0000006723,6360010.000104749
17435,ADOUR GARONNE,573847.000002085,6320170.000104712
17471,ADOUR GARONNE,644986.000000906,6296600.000104714
17506,ADOUR GARONNE,625460.0000012198,6258950.000104676
17548,ADOUR GARONNE,653041.0000007707,6275930.000104699
17573,ADOUR GARONNE,682393.0000002896,6289250.000104711
17642,ADOUR GARONNE,697168.0000000468,6326430.000104737
17660,ADOUR GARONNE,724065.9999996015,6328970.000104739
17663,ADOUR GARONNE,739361.9999993482,6330830.0001047375
17692,ADOUR GARONNE,765260.9999989133,6365710.000104747
17695,RHONE,748861.9999991896,6340260.00010474
17698,ADOUR GARONNE,760559.9999989936,6352370.000104745
17711,ADOUR GARONNE,547817.0000025143,6318450.000104701
17814,ADOUR GARONNE,602916.0000015922,6272670.000104686
17823,ADOUR GARONNE,565851.0000022057,6288560.000104689
17952,ADOUR GARONNE,577442.0000019867,6203340.000104593
17965,ADOUR GARONNE,584574.0000018673,6191520.000104575
17977,ADOUR GARONNE,572674.0000020532,6172920.000104537
17984,ADOUR GARONNE,601086.0000015979,6182810.000104565
17998,ADOUR GARONNE,548469.0000024741,6246670.000104639
18009,ADOUR GARONNE,567492.0000021546,6221890.0001046155
18018,ADOUR GARONNE,546845.0000024943,6231930.000104619
18049,ADOUR GARONNE,531189.0000027326,6196160.0001045605
18054,ADOUR GARONNE,562244.0000022321,6201260.000104582
18074,ADOUR GARONNE,520618.0000029077,6204450.000104568
18076,ADOUR GARONNE,513145.00000303914,6224760.000104596
18104,ADOUR GARONNE,503850.00000317564,6197780.000104551
18133,ADOUR GARONNE,387101.00000523106,6397310.000104627
18157,ADOUR GARONNE,373887.0000053989,6337460.000104599
18194,ADOUR GARONNE,344048.00000581215,6255370.000104506
18203,ADOUR GARONNE,354476.0000056276,6239350.000104501
18244,ADOUR GARONNE,404240.00000482064,6241490.000104546
18263,ADOUR GARONNE,371765.00000538334,6280270.00010456
18412,ADOUR GARONNE,433617.0000044081,6331780.000104647
18443,ADOUR GARONNE,455920.00000402034,6302700.000104641
18460,ADOUR GARONNE,425496.0000045159,6296390.000104617
18465,ADOUR GARONNE,423248.00000455783,6303050.000104619
18495,ADOUR GARONNE,459691.0000039481,6286980.000104632
18510,ADOUR GARONNE,476150.0000036451,6232800.000104584
18566,ADOUR GARONNE,466914.00000379025,6225100.000104567
19140,RHONE,977286.99999519,6754276.000102368
19170,RHONE,880363.9999969085,6679858.000102427
19757,RHONE,853524.9999973287,6651204.000104469
20104,RHONE,819264.9999979509,6566576.000104622
20209,RHONE,833932.9999977082,6539734.000104651
20360,RHONE,915416.9999962952,6575410.000104568
20385,RHONE,943354.9999958306,6551610.000104582
20429,RHONE,922869.9999962053,6509627.000104641
20995,RHONE,838860.9999976385,6499536.000104689
21151,RHONE,817645.9999980184,6437780.000104731
21356,RHONE,792009.9999984611,6392956.000104745
21538,RHONE,776629.9999987253,6358800.000104746
21571,RHONE,841686.9999976539,6331899.000104711
21604,RHONE,871172.9999971733,6315699.000104692
21663,RHONE,760011.9999990044,6342112.000104741
21714,RHONE,1000401.9999948896,6507792.000104587
21758,RHONE,974278.9999953164,6530858.000104586
21788,RHONE,998789.9999949449,6472184.0001046145
21835,RHONE,946064.9999958221,6492715.00010464
21877,RHONE,957693.9999956826,6408174.000104668
21925,RHONE,919478.9999963115,6426263.000104687
22003,RHONE,900954.9999966114,6447056.000104693
22260,RHONE,964463.9999955778,6396229.000104663
22423,RHONE,961387.9999956565,6357338.000104658
22471,RHONE,976851.9999954377,6306747.000104621
22480,RHONE,937805.9999960836,6301423.000104646
22495,RHONE,911267.999996529,6285931.00010465
22505,RHONE,906831.999996588,6310438.000104671
22514,RHONE,937505.999996116,6258778.000104606
22560,RHONE,649195.0000008156,6145841.000104508
22611,RHONE,647018.0000008519,6155462.000104528
22675,RHONE,714524.9999997607,6299465.00010472
22676,RHONE,641180.0000009481,6169447.00010455
22723,RHONE,621290.0000012735,6191430.000104586
22724,RHONE,634553.000001058,6186231.000104579
22858,RHONE,780888.9999986648,6311215.000104721
22980,RHONE,669568.000000495,6222968.000104636
23085,RHONE,736210.9999994079,6253983.000104676
23114,RHONE,692889.0000001166,6273491.000104698
23142,RHONE,772114.9999988154,6282593.0001047
23226,RHONE,889922.9999968875,6270229.000104647
23387,RHONE,953831.9999958526,6254181.00010459
23851,RHONE,943754.9999960244,6243001.000104587
24716,RHONE,992923.9999949266,6745626.000102358
24913,RHONE,892841.9999966398,6662617.000104427
25268,RHONE,826777.9999978569,6460820.000104717
25353,RHONE,891844.9999967702,6436498.000104701
25357,RHONE,887083.9999968483,6440591.000104701
25873,RHONE,987489.9999950521,6582833.000104512
26160,RHONE,1028132.9999946044,6296178.000104574
26247,RHONE,882068.9999969776,6348202.000104702
26351,RHONE,857300.9999974011,6318592.000104699
26477,RHONE,859975.999997286,6484614.00010469
26876,RHONE,925012.9999961447,6551147.000104592
27190,RHONE,942935.9999957646,6667906.000104388
